name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
Delhivery,3.7,8100.0,Logistics,Gurugram,23100.0,635.0,433.0,647.0
JPMorgan Chase & Co.,3.8,8000.0,Financial Services,Bengaluru,94100.0,894.0,418.0,879.0
ICICI Prudential Life Insurance,3.9,8000.0,Insurance,Mumbai,23400.0,498.0,429.0,630.0
Hexaware Technologies,3.4,8000.0,IT Services & Consulting,Chennai,56600.0,852.0,1700.0,579.0
Ujjivan Small Finance Bank,4.0,7900.0,Banking,Bengaluru,13700.0,344.0,126.0,578.0
Jana Small Finance Bank,3.7,7900.0,Banking,Bengaluru,14400.0,316.0,93.0,606.0
Sun Pharmaceutical Industries,4.0,7900.0,Pharma,Vadodara,24000.0,718.0,405.0,628.0
Zydus Lifesciences,4.0,7800.0,Pharma,Ahmedabad,20600.0,565.0,43.0,684.0
Ekart Logistics,3.9,7800.0,Logistics,Bengaluru,17400.0,422.0,1.0,425.0
HGS,3.7,7700.0,Emerging Technologies,Bengaluru,20100.0,279.0,21.0,962.0
KPMG India,3.4,7600.0,Management Consulting,Bengaluru,71200.0,966.0,116.0,771.0
Amazon Development Centre India,3.8,7600.0,Internet,Hyderabad,39500.0,913.0,17.0,609.0
Lupin,4.1,7600.0,Pharma,Pune,22500.0,459.0,50.0,778.0
Axis Max Life Insurance,4.0,7500.0,Insurance,New Delhi,20800.0,437.0,2400.0,547.0
ITC,3.8,7400.0,FMCG,Bengaluru,25500.0,720.0,80.0,647.0
L&T Construction,4.0,7400.0,Engineering & Construction,Chennai,19100.0,962.0,0.0,921.0
Hindustan Unilever,4.2,7300.0,FMCG,Mumbai,21000.0,487.0,47.0,708.0
Megha Engineering & Infrastructures,3.9,7200.0,Engineering & Construction,Hyderabad,19800.0,600.0,50.0,560.0
Tata Projects,4.2,7100.0,Engineering & Construction,Mumbai,23100.0,647.0,40.0,579.0
Cholamandalam Investment & Finance,3.8,6900.0,Financial Services,Chennai,13400.0,311.0,83.0,310.0
Bajaj Life Insurance,3.8,6900.0,Insurance,Pune,18300.0,459.0,108.0,494.0
L&T Technology Services,3.1,6900.0,IT Services & Consulting,Bengaluru,45700.0,659.0,1.0,514.0
FIS,3.7,6700.0,FinTech,Pune,39100.0,555.0,99.0,738.0
Oracle,3.3,6700.0,Software Product,Bengaluru,66000.0,970.0,313.0,651.0
JLL,4.1,6700.0,Real Estate,Gurugram,26000.0,511.0,514.0,568.0
Omega Healthcare,3.7,6600.0,BPO,Chennai,28700.0,576.0,164.0,412.0
Muthoot Finance,3.7,6600.0,NBFC,Bengaluru,13300.0,377.0,207.0,335.0
IIFL Finance,4.0,6500.0,NBFC,Mumbai,14000.0,343.0,67.0,397.0
eClerx,3.1,6500.0,IT Services & Consulting,Pune,34000.0,659.0,419.0,570.0
Indian Army,4.7,6400.0,Defence & Aerospace,New Delhi,9500.0,215.0,0.0,742.0
DMart,3.9,6400.0,Retail,Mumbai,19800.0,579.0,210.0,486.0
PolicyBazaar,3.7,6400.0,Internet,Gurugram,19000.0,670.0,1300.0,283.0
Indiamart Intermesh,3.6,6300.0,Internet,Noida,22000.0,816.0,263.0,511.0
Piramal Finance,4.2,6300.0,NBFC,Mumbai,13100.0,307.0,133.0,447.0
Virtusa Consulting Services,3.7,6300.0,IT Services & Consulting,Hyderabad,58100.0,696.0,237.0,335.0
HSBC Group,3.8,6200.0,Financial Services,Bengaluru,46500.0,570.0,124.0,1100.0
SMFG India Credit,3.9,6200.0,NBFC,Mumbai,11400.0,221.0,146.0,358.0
Access Healthcare,3.7,6100.0,BPO,Chennai,30100.0,424.0,825.0,392.0
HCL Group,3.5,6100.0,IT Services & Consulting,Chennai,38600.0,529.0,0.0,656.0
BigBasket,3.9,6000.0,Internet,Bengaluru,20300.0,513.0,80.0,392.0
Manappuram Finance,3.9,6000.0,NBFC,Bengaluru,9700.0,239.0,17.0,245.0
GlobalLogic,3.5,6000.0,IT Services & Consulting,Hyderabad,42800.0,705.0,62.0,545.0
ICICI Lombard General Insurance Company,3.5,6000.0,Insurance,Mumbai,20900.0,379.0,249.0,391.0
Siemens,4.0,6000.0,Industrial Automation,Bengaluru,35500.0,525.0,804.0,645.0
Apollo Hospitals,4.0,6000.0,Healthcare,Chennai,17300.0,512.0,388.0,525.0
Firstsource Solutions,3.5,6000.0,BPO,Bengaluru,25400.0,376.0,106.0,575.0
Aurobindo Pharma,4.0,5900.0,Pharma,Hyderabad,20500.0,306.0,22.0,465.0
Shapoorji Pallonji Group,4.1,5900.0,Engineering & Construction,Mumbai,15500.0,456.0,59.0,650.0
Tata Capital,4.0,5900.0,NBFC,Mumbai,16500.0,302.0,5300.0,275.0
UST,3.7,5900.0,IT Services & Consulting,Bengaluru,41500.0,616.0,671.0,407.0
Swiggy,3.7,5900.0,Internet,Bengaluru,25200.0,612.0,172.0,373.0
Standard Chartered,3.6,5800.0,Banking,Chennai,42800.0,336.0,14.0,317.0
Mahindra Finance,3.8,5800.0,NBFC,Mumbai,12400.0,230.0,135.0,524.0
Bosch Global Software Technologies,3.7,5800.0,IT Services & Consulting,Bengaluru,41500.0,399.0,57.0,645.0
Udaan,3.9,5700.0,Internet,Bengaluru,15100.0,376.0,6.0,704.0
Citicorp,3.6,5700.0,Financial Services,Pune,55500.0,648.0,0.0,532.0
Ashok Leyland,4.0,5700.0,Automobile,Chennai,19100.0,336.0,2.0,651.0
Hero MotoCorp,4.1,5600.0,Automobile,Gurugram,16800.0,435.0,4.0,605.0
CGI Inc,4.0,5600.0,IT Services & Consulting,Bengaluru,48200.0,580.0,501.0,360.0
SBI Cards & Payment Services,3.6,5500.0,Financial Services,Gurugram,16400.0,334.0,95.0,351.0
NTT DATA,3.8,5500.0,IT Services & Consulting,Bengaluru,39900.0,782.0,19.0,547.0
Kalpataru Projects International,4.1,5500.0,Engineering & Construction,Mumbai,14400.0,351.0,2.0,227.0
BNY,3.6,5400.0,Financial Services,Pune,32500.0,408.0,40.0,556.0
Nagarjuna Construction Company,4.0,5400.0,Engineering & Construction,Hyderabad,12700.0,470.0,21.0,421.0
Cyient,3.6,5400.0,IT Services & Consulting,Hyderabad,27900.0,340.0,153.0,449.0
IQVIA,3.7,5400.0,Clinical Research,Bengaluru,32700.000000000004,579.0,33.0,548.0
Schneider Electric,4.1,5400.0,Industrial Automation,Bengaluru,26600.0,474.0,526.0,456.0
SBI Life Insurance Company,3.7,5300.0,Insurance,Mumbai,12200.0,330.0,6.0,344.0
CBRE,4.1,5300.0,Real Estate,Hyderabad,19700.0,367.0,37.0,484.0
JustDial,3.5,5300.0,Internet,Noida,15300.0,403.0,35.0,362.0
TVS Motor,3.8,5300.0,Automobile,Hosur,16900.0,435.0,162.0,555.0
State Bank of India,3.9,5200.0,Banking,Mumbai,11900.0,351.0,6.0,405.0
Persistent Systems,3.5,5200.0,IT Services & Consulting,Pune,48400.0,729.0,470.0,394.0
KEC International,4.0,5100.0,Engineering & Construction,Mumbai,13900.0,443.0,25.0,470.0
ITC Infotech,3.8,5100.0,IT Services & Consulting,Bengaluru,30500.0,430.0,121.0,295.0
Amdocs,3.6,5100.0,Software Product,Pune,38200.0,571.0,0.0,629.0
Atos,3.8,5100.0,IT Services & Consulting,Pune,33500.0,420.0,107.0,467.0
vivo,4.0,5000.0,Consumer Electronics & Appliances,Noida,12900.0,249.0,25.0,624.0
Varun Beverages,4.0,5000.0,Beverage,New Delhi,12400.0,364.0,34.0,331.0
JBM Group,3.9,5000.0,Auto Components,Gurugram,14300.0,375.0,74.0,358.0
Utkarsh Small Finance Bank,3.6,5000.0,Banking,Varanasi,11600.0,340.0,49.0,294.0
Ecom Express,4.1,4900.0,Logistics,Gurugram,9400.0,270.0,0.0,304.0
Randstad,3.7,4900.0,Recruitment,Hyderabad,17700.0,346.0,530.0,355.0
Nagarro,3.9,4800.0,IT Services & Consulting,Gurugram,34400.0,846.0,314.0,1100.0
Lenskart,3.4,4800.0,Internet,New Delhi,13900.0,534.0,240.0,321.0
EY Global Delivery Services ( EY GDS),3.5,4800.0,IT Services & Consulting,Bengaluru,55200.0,926.0,16.0,359.0
Bosch,4.1,4800.0,Auto Components,Bengaluru,21500.0,393.0,0.0,610.0
Hetero,3.9,4800.0,Pharma,Hyderabad,15700.0,446.0,118.0,381.0
Eviden,3.6,4800.0,IT Services & Consulting,Pune,26600.0,316.0,0.0,3.0
Intas Pharmaceuticals,4.1,4800.0,Pharma,Ahmedabad,18400.0,274.0,33.0,400.0
Havells,3.9,4800.0,Electrical Equipment,Noida,16300.0,313.0,28.0,323.0
L&T Finance,3.9,4800.0,NBFC,Mumbai,12400.0,239.0,0.0,248.0
R1 RCM,3.8,4700.0,BPO,Hyderabad,23200.0,373.0,183.0,353.0
Aditya Birla Fashion and Retail,4.1,4700.0,Fashion & Textile,Bengaluru,13300.0,279.0,71.0,398.0
Tata AIA Life Insurance,3.8,4700.0,Insurance,Mumbai,15200.0,269.0,779.0,315.0
Hewlett Packard Enterprise,4.0,4700.0,IT Services & Consulting,Bengaluru,27800.0,272.0,219.0,550.0
Cars24,3.4,4700.0,Internet,Gurugram,16000.0,420.0,79.0,400.0
Mahindra Logistics,3.7,4700.0,Logistics,Mumbai,13000.0,254.0,196.0,444.0
Berger Paints,3.7,4700.0,Chemicals,Kolkata,10800.0,462.0,283.0,278.0
Dell,3.8,4600.0,Consumer Electronics & Appliances,Bengaluru,29300.0,442.0,18.0,546.0
Deutsche Bank,3.8,4600.0,Banking,Pune,39000.0,439.0,283.0,425.0
Home Credit Finance,4.0,4600.0,NBFC,Gurugram,9100.0,155.0,124.0,597.0
Motilal Oswal Financial Services,3.7,4600.0,Financial Services,Mumbai,13700.0,562.0,41.0,179.0
OPPO,3.9,4500.0,Consumer Electronics & Appliances,Greater Noida,11500.0,265.0,13.0,583.0
TeamLease Services,3.9,4500.0,Recruitment,Bengaluru,16800.0,263.0,0.0,221.0
Hyundai Motor India Limited,4.1,4500.0,Automobile,Chennai,14600.0,334.0,7.0,530.0
VE Commercial Vehicles,3.9,4500.0,Automobile,Indore,14700.0,304.0,24.0,363.0
Thermax Limited,4.2,4400.0,Industrial Machinery,Pune,13600.0,362.0,46.0,393.0
Jubilant Foods Works,3.7,4400.0,Hospitality,Noida,10100.0,266.0,365.0,202.0
Macleods Pharmaceuticals,3.7,4400.0,Pharma,Mumbai,16100.000000000002,282.0,33.0,348.0
Carelon Global Solutions,4.0,4400.0,IT Services & Consulting,Bengaluru,29400.0,435.0,134.0,32.0
Jindal Steel Limited,3.9,4300.0,Iron & Steel,Angul,16600.0,451.0,33.0,350.0
Aakash Educational Services,3.2,4300.0,Education & Training,New Delhi,14200.0,384.0,118.0,213.0
State Street Corporation,3.5,4300.0,Financial Services,Bengaluru,35000.0,305.0,10.0,274.0
Bajaj Auto,3.8,4300.0,Automobile,Pune,15200.0,338.0,40.0,486.0
LG Electronics,3.8,4300.0,Consumer Electronics & Appliances,Pune,11400.0,273.0,14.0,404.0
HDFC ERGO General Insurance,3.9,4200.0,Insurance,Mumbai,12300.0,212.0,7.0,278.0
DCB Bank,3.8,4200.0,Banking,Mumbai,9800.0,239.0,14.0,259.0
Kogta Financial India Limited,4.6,4200.0,NBFC,Jaipur,2000.0,252.0,100.0,38.0
Royal Enfield,4.2,4200.0,Automobile,Chennai,15300.0,212.0,1.0,397.0
RBL Bank,3.5,4200.0,Banking,Mumbai,18900.0,254.0,41.0,221.0
John Deere,4.0,4200.0,Industrial Machinery,Pune,15900.0,278.0,4.0,440.0
Publicis Sapient,3.2,4100.0,IT Services & Consulting,Bengaluru,33700.0,717.0,88.0,407.0
Cloudnine Hospital,4.5,4100.0,Healthcare,Bengaluru,3200.0,1600.0,32.0,199.0
Tata Communications,3.8,4100.0,Telecom,Pune,24000.0,312.0,186.0,429.0
Cummins,4.3,4100.0,Industrial Machinery,Pune,15900.0,299.0,185.0,467.0
Alembic Pharmaceuticals,3.9,4100.0,Pharma,Vadodara,16000.0,272.0,53.0,390.0
Pidilite Industries,4.2,4100.0,Chemicals,Mumbai,12300.0,278.0,13.0,366.0
Aditya Birla Sun Life Insurance,4.0,4000.0,Insurance,Mumbai,10700.0,194.0,0.0,217.0
Grasim Industries,4.0,4000.0,Building Material,Bharuch,13400.0,300.0,5.0,298.0
Bank of America,4.1,4000.0,Banking,Gurugram,30600.0,298.0,0.0,417.0
PNB MetLife,3.3,4000.0,Insurance,New Delhi,8500.0,202.0,1.0,224.0
American Express,4.1,4000.0,Financial Services,Gurugram,26300.0,443.0,244.0,460.0
Aditya Birla Capital,3.8,4000.0,NBFC,Mumbai,14900.0,274.0,0.0,225.0
Kyndryl,3.9,4000.0,IT Services & Consulting,Bengaluru,28700.0,242.0,676.0,178.0
Oyo Rooms,3.0,4000.0,Hospitality,Gurugram,13200.0,268.0,129.0,393.0
Subros,3.8,4000.0,Auto Components,Noida,12900.0,233.0,1.0,399.0
KPIT Technologies,2.8,4000.0,Software Product,Pune,24600.0,355.0,18.0,295.0
ADP Private Limited,3.9,4000.0,Software Product,Hyderabad,22600.0,305.0,59.0,469.0
Escorts Kubota Limited,4.1,3900.0,Industrial Machinery,Faridabad,14200.0,318.0,6.0,277.0
Maersk,3.9,3900.0,Logistics,Chennai,20100.0,257.0,65.0,439.0
JK Cement,4.0,3900.0,Building Material,New Delhi,10800.0,363.0,6.0,275.0
Viatris,4.1,3900.0,Pharma,Hyderabad,14500.0,174.0,13.0,508.0
