name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
Zydus Lifesciences,4.0,7.8k,Pharma,Ahmedabad,20.6k,565,43,684
Ekart Logistics,3.9,7.8k,Logistics,Bengaluru,17.4k,422,1,425
HGS,3.7,7.7k,Emerging Technologies,Bengaluru,20.1k,279,21,962
KPMG India,3.4,7.6k,Management Consulting,Bengaluru,71.2k,966,116,771
Amazon Development Centre India,3.8,7.6k,Internet,Hyderabad,39.5k,913,17,609
Lupin,4.1,7.6k,Pharma,Pune,22.5k,459,50,778
Axis Max Life Insurance,4.0,7.5k,Insurance,New Delhi,20.8k,437,2.4k,547
ITC,3.8,7.4k,FMCG,Bengaluru,25.5k,720,80,647
L&T Construction,4.0,7.4k,Engineering & Construction,Chennai,19.1k,962,--,921
Hindustan Unilever,4.2,7.3k,FMCG,Mumbai,21k,487,47,708
Megha Engineering & Infrastructures,3.9,7.2k,Engineering & Construction,Hyderabad,19.8k,600,50,560
Tata Projects,4.2,7.1k,Engineering & Construction,Mumbai,23.1k,647,40,579
Cholamandalam Investment & Finance,3.8,6.9k,Financial Services,Chennai,13.4k,311,83,310
Bajaj Life Insurance,3.8,6.9k,Insurance,Pune,18.3k,459,108,494
L&T Technology Services,3.1,6.9k,IT Services & Consulting,Bengaluru,45.7k,659,1,514
FIS,3.7,6.7k,FinTech,Pune,39.1k,555,99,738
Oracle,3.3,6.7k,Software Product,Bengaluru,66k,970,313,651
JLL,4.1,6.7k,Real Estate,Gurugram,26k,511,514,568
Omega Healthcare,3.7,6.6k,BPO,Chennai,28.7k,576,164,412
Muthoot Finance,3.7,6.6k,NBFC,Bengaluru,13.3k,377,207,335
IIFL Finance,4.0,6.5k,NBFC,Mumbai,14k,343,67,397
eClerx,3.1,6.5k,IT Services & Consulting,Pune,34k,659,419,570
Indian Army,4.7,6.4k,Defence & Aerospace,New Delhi,9.5k,215,--,742
DMart,3.9,6.4k,Retail,Mumbai,19.8k,579,210,486
PolicyBazaar,3.7,6.4k,Internet,Gurugram,19k,670,1.3k,283
Indiamart Intermesh,3.6,6.3k,Internet,Noida,22k,816,263,511
Piramal Finance,4.2,6.3k,NBFC,Mumbai,13.1k,307,133,447
Virtusa Consulting Services,3.7,6.3k,IT Services & Consulting,Hyderabad,58.1k,696,237,335
HSBC Group,3.8,6.2k,Financial Services,Bengaluru,46.5k,570,124,1.1k
SMFG India Credit,3.9,6.2k,NBFC,Mumbai,11.4k,221,146,358
Access Healthcare,3.7,6.1k,BPO,Chennai,30.1k,424,825,392
HCL Group,3.5,6.1k,IT Services & Consulting,Chennai,38.6k,529,--,656
BigBasket,3.9,6k,Internet,Bengaluru,20.3k,513,80,392
Manappuram Finance,3.9,6k,NBFC,Bengaluru,9.7k,239,17,245
GlobalLogic,3.5,6k,IT Services & Consulting,Hyderabad,42.8k,705,62,545
ICICI Lombard General Insurance Company,3.5,6k,Insurance,Mumbai,20.9k,379,249,391
Siemens,4.0,6k,Industrial Automation,Bengaluru,35.5k,525,804,645
Apollo Hospitals,4.0,6k,Healthcare,Chennai,17.3k,512,388,525
Firstsource Solutions,3.5,6k,BPO,Bengaluru,25.4k,376,106,575
Aurobindo Pharma,4.0,5.9k,Pharma,Hyderabad,20.5k,306,22,465
Shapoorji Pallonji Group,4.1,5.9k,Engineering & Construction,Mumbai,15.5k,456,59,650
Tata Capital,4.0,5.9k,NBFC,Mumbai,16.5k,302,5.3k,275
UST,3.7,5.9k,IT Services & Consulting,Bengaluru,41.5k,616,671,407
Swiggy,3.7,5.9k,Internet,Bengaluru,25.2k,612,172,373
Standard Chartered,3.6,5.8k,Banking,Chennai,42.8k,336,14,317
Mahindra Finance,3.8,5.8k,NBFC,Mumbai,12.4k,230,135,524
Bosch Global Software Technologies,3.7,5.8k,IT Services & Consulting,Bengaluru,41.5k,399,57,645
Udaan,3.9,5.7k,Internet,Bengaluru,15.1k,376,6,704
Citicorp,3.6,5.7k,Financial Services,Pune,55.5k,648,--,532
Ashok Leyland,4.0,5.7k,Automobile,Chennai,19.1k,336,2,651
Hero MotoCorp,4.1,5.6k,Automobile,Gurugram,16.8k,435,4,605
CGI Inc,4.0,5.6k,IT Services & Consulting,Bengaluru,48.2k,580,501,360
SBI Cards & Payment Services,3.6,5.5k,Financial Services,Gurugram,16.4k,334,95,351
NTT DATA,3.8,5.5k,IT Services & Consulting,Bengaluru,39.9k,782,19,547
Kalpataru Projects International,4.1,5.5k,Engineering & Construction,Mumbai,14.4k,351,2,227
BNY,3.6,5.4k,Financial Services,Pune,32.5k,408,40,556
Nagarjuna Construction Company,4.0,5.4k,Engineering & Construction,Hyderabad,12.7k,470,21,421
Cyient,3.6,5.4k,IT Services & Consulting,Hyderabad,27.9k,340,153,449
IQVIA,3.7,5.4k,Clinical Research,Bengaluru,32.7k,579,33,548
Schneider Electric,4.1,5.4k,Industrial Automation,Bengaluru,26.6k,474,526,456
SBI Life Insurance Company,3.7,5.3k,Insurance,Mumbai,12.2k,330,6,344
CBRE,4.1,5.3k,Real Estate,Hyderabad,19.7k,367,37,484
JustDial,3.5,5.3k,Internet,Noida,15.3k,403,35,362
TVS Motor,3.8,5.3k,Automobile,Hosur,16.9k,435,162,555
State Bank of India,3.9,5.2k,Banking,Mumbai,11.9k,351,6,405
Persistent Systems,3.5,5.2k,IT Services & Consulting,Pune,48.4k,729,470,394
KEC International,4.0,5.1k,Engineering & Construction,Mumbai,13.9k,443,25,470
ITC Infotech,3.8,5.1k,IT Services & Consulting,Bengaluru,30.5k,430,121,295
Amdocs,3.6,5.1k,Software Product,Pune,38.2k,571,--,629
Atos,3.8,5.1k,IT Services & Consulting,Pune,33.5k,420,107,467
vivo,4.0,5k,Consumer Electronics & Appliances,Noida,12.9k,249,25,624
Varun Beverages,4.0,5k,Beverage,New Delhi,12.4k,364,34,331
JBM Group,3.9,5k,Auto Components,Gurugram,14.3k,375,74,358
Utkarsh Small Finance Bank,3.6,5k,Banking,Varanasi,11.6k,340,49,294
Ecom Express,4.1,4.9k,Logistics,Gurugram,9.4k,270,--,304
Randstad,3.7,4.9k,Recruitment,Hyderabad,17.7k,346,530,355
Nagarro,3.9,4.8k,IT Services & Consulting,Gurugram,34.4k,846,314,1.1k
Lenskart,3.4,4.8k,Internet,New Delhi,13.9k,534,240,321
EY Global Delivery Services ( EY GDS),3.5,4.8k,IT Services & Consulting,Bengaluru,55.2k,926,16,359
Bosch,4.1,4.8k,Auto Components,Bengaluru,21.5k,393,--,610
Hetero,3.9,4.8k,Pharma,Hyderabad,15.7k,446,118,381
Eviden,3.6,4.8k,IT Services & Consulting,Pune,26.6k,316,--,3
Intas Pharmaceuticals,4.1,4.8k,Pharma,Ahmedabad,18.4k,274,33,400
Havells,3.9,4.8k,Electrical Equipment,Noida,16.3k,313,28,323
L&T Finance,3.9,4.8k,NBFC,Mumbai,12.4k,239,--,248
R1 RCM,3.8,4.7k,BPO,Hyderabad,23.2k,373,183,353
Aditya Birla Fashion and Retail,4.1,4.7k,Fashion & Textile,Bengaluru,13.3k,279,71,398
Tata AIA Life Insurance,3.8,4.7k,Insurance,Mumbai,15.2k,269,779,315
Hewlett Packard Enterprise,4.0,4.7k,IT Services & Consulting,Bengaluru,27.8k,272,219,550
Cars24,3.4,4.7k,Internet,Gurugram,16k,420,79,400
Mahindra Logistics,3.7,4.7k,Logistics,Mumbai,13k,254,196,444
Berger Paints,3.7,4.7k,Chemicals,Kolkata,10.8k,462,283,278
Dell,3.8,4.6k,Consumer Electronics & Appliances,Bengaluru,29.3k,442,18,546
