name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
PUMA,4.1,816,Fashion & Textile,Bengaluru,2.7k,74,14,83
Fluor Corporation,4.1,816,Engineering & Construction,Gurugram,1.8k,32,185,9
Wabtec,3.9,816,Auto Components,Bengaluru,4.3k,64,8,54
Eveready Industries,3.9,815,Consumer Electronics & Appliances,Kolkata,2.5k,44,1,81
Chennai Radha Engineering Works,3.9,815,Engineering & Construction,Chennai,2.3k,42,--,94
Wipro Consumer Care & Lighting,3.6,815,FMCG,Bengaluru,3.8k,76,9,268
Hitachi,3.8,814,Industrial Machinery,Bengaluru,5k,98,2,58
Somany Ceramics,4.2,816,Building Material,New Delhi,2.8k,31,8,67
Zidio Development,4.4,813,IT Services & Consulting,Bengaluru,115,173,--,2
Indo Autotech,4.0,812,Auto Components,Faridabad,2.8k,56,8,66
Travel Food Services Ltd,4.0,812,Hospitality,Mumbai,2.1k,51,1,66
Axtria,2.7,811,Software Product,Gurugram,8k,136,168,77
Careernet,3.5,811,Recruitment,Bengaluru,4.7k,51,--,51
Action Construction Equipment,3.7,812,Industrial Machinery,Faridabad,2.9k,77,1,41
Denave,3.4,810,Marketing & Advertising,Noida,2.8k,50,8,79
Maveric Systems,3.3,810,IT Services & Consulting,Chennai,7.3k,132,9,71
Creative Synergies Group,3.8,808,IT Services & Consulting,Bengaluru,2.4k,30,23,17
JM Financial,3.8,808,Financial Services,Mumbai,4k,61,--,35
Franklin Templeton Investments,3.9,808,Financial Services,Hyderabad,3.9k,35,47,73
Rallis India,4.0,808,Agro Chemicals,Ankleshwar,2.5k,46,12,79
Hilti,3.3,806,Industrial Machinery,Gurugram,3.8k,75,15,82
Jai Balaji Group,3.2,806,Iron & Steel,Durgapur,3.3k,56,--,67
Microtek International,3.7,805,Consumer Electronics & Appliances,New Delhi,2.8k,54,3,54
Intex Technologies,3.6,804,Consumer Electronics & Appliances,New Delhi,1.5k,20,2,97
Wapcos,3.1,804,Engineering & Construction,New Delhi,2.3k,42,--,36
Hitachi Digital Services,3.5,804,IT Services & Consulting,Hyderabad,2.4k,70,38,52
Forever Living Products,4.2,804,Fitness & Wellness,Mumbai,1.6k,79,--,47
Lenovo,4.0,804,Consumer Electronics & Appliances,Bengaluru,4.3k,61,14,59
Toyo Engineering,4.0,804,Engineering & Construction,Mumbai,3.8k,62,2,81
People Tech Group,2.3,802,IT Services & Consulting,Hyderabad,5.4k,89,16,35
First Advantage,3.4,802,Recruitment,Bengaluru,4.6k,32,35,62
Padget Electronics,3.7,802,Electronics Manufacturing,Noida,2.9k,85,--,27
Ksb Pumps,3.7,801,Industrial Machinery,Pune,3.5k,59,131,42
Pratap Technocrats,3.7,802,Telecom,Pune,1.9k,37,5,38
Neurealm,3.4,800,IT Services & Consulting,Chennai,6.9k,102,52,56
Transrail Lighting,4.0,799,Engineering & Construction,Mumbai,2.8k,64,5,52
Lea Associates South Asia,4.2,799,Engineering & Construction,New Delhi,1.9k,34,--,79
Fleetguard Filters Private Limited,4.3,798,Auto Components,Pune,2.8k,53,15,63
ManipalCigna Health Insurance,3.7,797,Insurance,Mumbai,3.1k,45,204,45
Protiviti,3.0,796,Management Consulting,Gurugram,5.7k,73,7,24
Celebal Technologies,3.0,796,IT Services & Consulting,Jaipur,4.9k,143,32,22
NTT,3.9,795,IT Services & Consulting,Mumbai,4.9k,72,1,63
Allied Digital Services,3.1,794,IT Services & Consulting,Mumbai,3.6k,68,20,34
Reliance Smart,4.1,794,Retail,Hyderabad,2.2k,37,--,22
Eastman Auto and Power Limited,3.9,795,Electronics Manufacturing,Gurugram,2.3k,111,38,36
Fidelity International,3.5,794,Financial Services,Gurugram,6k,63,64,84
Isuzu Motors,4.2,795,Automobile,Chennai,3k,57,1,95
Edubridge Learning,3.8,792,EdTech,Mumbai,1.3k,67,79,150
Alivus Life Sciences,3.8,792,Pharma,Ankleshwar,4.1k,42,--,46
Neuland Laboratories,3.9,792,Pharma,Hyderabad,3.1k,56,9,72
Mindsprint,3.5,792,IT Services & Consulting,Chennai,4.7k,72,25,109
Sterling Tools,4.5,791,Auto Components,Faridabad,1.2k,235,11,31
Exicom,3.9,790,Semiconductors,Gurugram,3.1k,62,14,75
ESL Steel,3.8,789,Iron & Steel,Bokaro,2.1k,38,--,91
VA Tech Wabag,3.8,788,Waste Management,Chennai,3k,61,18,87
Volkswagen Group Digital Solutions [India],3.9,788,IT Services & Consulting,Pune,5.2k,86,32,4
Ameriprise Financial,3.7,788,Financial Services,Gurugram,5.4k,75,5,104
JioStar,3.6,789,Media & Entertainment,Mumbai,4.9k,65,187,24
Forvia Hella,3.7,788,Auto Components,Pune,3.6k,51,78,81
Bses Rajdhani Power,3.8,787,Power,New Delhi,2.8k,60,--,61
Amadeus,3.7,787,Software Product,Bengaluru,7.6k,128,24,94
Bunge India,3.9,787,Food Processing,Sahibzada Ajit Singh Nagar,3.3k,50,448,59
Assystem,3.3,786,Engineering & Construction,Chennai,2.2k,51,165,5
Quatrro Business Support Services,3.2,786,Recruitment,Gurugram,2.6k,62,--,86
Vaaman Engineers,3.8,786,Engineering & Construction,Jharsuguda,2.3k,76,6,58
Central Industrial Security Force,4.3,786,Law Enforcement & Security,New Delhi,2k,24,--,77
Bitwise Solutions,3.7,784,IT Services & Consulting,Pune,4.5k,62,5,127
Creambell,3.8,785,Hospitality,New Delhi,2.2k,44,3,74
Times Internet,3.4,784,Internet,Noida,5.6k,75,13,73
Aurigo Software Technologies,4.7,783,Software Product,Bengaluru,1.1k,37,26,127
Mott MacDonald,3.9,783,Management Consulting,Mumbai,2.9k,58,151,53
TO THE NEW,3.6,783,IT Services & Consulting,Noida,6k,155,26,98
Skill Lync,3.1,782,EdTech,Chennai,3.5k,93,1,29
Steel Authority Of India,4.1,783,Iron & Steel,Bokaro,2.3k,51,--,59
India Japan Lighting,4.0,783,Auto Components,Chennai,2.7k,69,5,69
BNP Paribas India Solutions,3.5,782,IT Services & Consulting,Mumbai,6.4k,83,8,116
Sharda Motor Industries,3.7,781,Auto Components,Chennai,2.9k,58,13,86
National Informatics Centre,3.9,780,Government,New Delhi,4.3k,44,--,27
CMS Computers Limited (INDIA),3.6,780,IT Services & Consulting,New Delhi,3.3k,44,4,57
KreditBee,3.7,781,FinTech,Bengaluru,3.6k,73,25,48
Wipro Infrastructure Engineering,3.7,778,Industrial Machinery,Bengaluru,4k,63,18,89
Greenply,3.8,777,Building Material,Kolkata,2.5k,58,1,54
Google Operations Center,3.5,776,BPO,Hyderabad,4.4k,104,--,49
UnitedLex,2.6,775,Analytics & KPO,New Delhi,3.7k,75,50,61
JSW Energy,4.1,776,Power,Mumbai,4.1k,61,9,44
McDermott International,4.2,775,Engineering & Construction,Chennai,3.6k,65,61,74
Finolex Cables,3.7,774,Electrical Equipment,Pune,2.6k,45,17,47
Smollan Group,3.9,774,Marketing & Advertising,Mumbai,1.9k,51,1,43
Stellantis,3.4,774,Automobile,Chennai,5.5k,68,--,23
Veradigm,3.7,773,Software Product,Pune,3.5k,43,74,2
R.V.R. PROJECTS,3.8,774,Engineering & Construction,Hyderabad,1.9k,71,18,37
Zee Entertainment Enterprises,3.3,772,Media & Entertainment,Mumbai,4.4k,57,--,50
Livguard,3.8,771,Electronics Manufacturing,Gurugram,2.4k,45,--,19
Rackspace,3.6,771,IT Services & Consulting,Gurugram,4.7k,86,9,61
HSBC Software Development,4.0,772,Software Product,Pune,7.8k,29,--,3
India Cements,3.9,768,Building Material,Chennai,2.7k,55,9,63
Eugia Pharma Specialities,4.0,769,Pharma,Hyderabad,2.9k,49,--,36
Hapag-Lloyd,3.8,768,Ports & Shipping,Chennai,3.2k,31,5,74
LG Soft India,2.6,767,IT Services & Consulting,Bengaluru,4.8k,116,36,73
Religare,3.6,766,Financial Services,New Delhi,2.5k,36,38,33
Samsung E&A,4.0,766,Engineering & Construction,Noida,2.4k,73,--,116
Integreon,3.1,766,BPO,Mumbai,4.1k,58,33,86
Care Hospital,4.1,765,Healthcare,Hyderabad,2.2k,36,34,67
ReSource Pro,3.7,765,BPO,Bengaluru,4.2k,140,37,55
RITES,3.9,765,Engineering & Construction,Gurugram,2.6k,41,8,61
Electrosteel Casting,3.6,763,Building Material,Kolkata,2.9k,57,1,42
bp,3.7,765,Oil & Gas,Pune,4.9k,98,24,35
Trianz,3.7,763,IT Services & Consulting,Hyderabad,4.8k,61,40,60
Brane Enterprises,2.1,762,Software Product,Hyderabad,3.7k,151,--,19
Primus Global Technologies,3.6,762,IT Services & Consulting,Bengaluru,3.2k,26,--,56
LifeCell International,3.3,762,Biotechnology,Chennai,2.9k,53,36,69
BCD Travel,4.3,761,Travel & Tourism,Bengaluru,1.8k,152,30,40
Better.com,3.0,762,Financial Services,Gurugram,3.8k,58,8,115
EMERSON PROCESS MANAGEMENT,4.0,760,Industrial Automation,Pune,4.6k,66,--,76
Deepak Nitrite,3.8,759,Chemicals,Vadodara,3.2k,53,23,76
Genus Power Infrastructures,3.9,759,Electronics Manufacturing,Jaipur,3.1k,72,2,49
AI Airport Services,3.3,759,Aviation,Mumbai,1.8k,50,--,7
Boeing,3.8,759,Aviation,Bengaluru,7.2k,103,9,67
Shalby Hospitals,4.3,757,Healthcare,Ahmedabad,2.2k,120,66,65
B. G. Shirke Construction Technology,4.1,757,Engineering & Construction,Pune,2.8k,44,5,83
Mitsubishi Electric India,4.2,758,Electronics Manufacturing,Pune,3.1k,48,5,62
Redcliffe Labs,3.9,756,Healthcare,Noida,1.9k,73,12,60
Turtlemint,3.7,756,Internet,Mumbai,2.7k,61,1,34
Dunzo,3.5,756,Internet,Bengaluru,3.1k,71,--,22
ASG Eye Hospital,3.5,757,Healthcare,Jaipur,1.8k,63,104,40
Razorpay,3.4,755,FinTech,Bengaluru,7.1k,179,5,50
CADD Centre Training Services,3.9,755,Education & Training,Chennai,2k,38,6,91
V-Trans,3.8,754,Logistics,Mumbai,2k,34,--,50
Sterlite Power,4.1,754,Power,New Delhi,3.3k,42,21,72
Tredence,3.3,753,IT Services & Consulting,Bengaluru,7.3k,154,150,54
1 India Family Mart,4.6,752,Retail,New Delhi,1.5k,40,--,40
BDO INDIA SERVICES PRIVATE LIMITED,3.1,753,Accounting & Auditing,Mumbai,3.9k,94,173,39
Delta Electronics,3.8,752,Electronics Manufacturing,Bengaluru,3.8k,69,1,46
Sun Life Financial,3.8,751,Financial Services,Gurugram,4.2k,55,189,114
Mswipe Technologies,3.2,751,FinTech,Mumbai,2.3k,36,5,47
Koch Business Solutions,3.1,750,IT Services & Consulting,Bengaluru,5.3k,71,4,51
The Akshaya Patra Foundation,4.4,749,Non-Profit,Bengaluru,2k,62,17,65
Ag Industries,4.0,748,Auto Components,Gurugram,2.8k,62,10,55
Kissht Finance,3.9,748,FinTech,Mumbai,2.2k,103,17,48
Galfar,3.9,748,Engineering & Construction,Muscat,1.9k,32,--,78
OLX India,3.8,747,Internet,Gurugram,3.3k,69,8,114
URC Construction,3.6,746,Engineering & Construction,Chennai,2.6k,76,8,36
GirnarSoft,3.7,745,IT Services & Consulting,Gurugram,3.3k,36,3,92
BDO RISE Private Limited,3.6,746,Accounting & Auditing,Bengaluru,3.4k,98,27,34
Home First Finance Company India,3.5,745,NBFC,Mumbai,2.8k,68,297,27
SLK Global Services,4.0,744,BPO,Bengaluru,2.4k,35,--,86
Nvidia,3.4,743,Hardware & Networking,Pune,5.7k,135,340,68
McKinsey & Company,3.8,743,Management Consulting,Gurugram,8.8k,254,5,69
TDK India Private Limited,3.9,741,Semiconductors,Nashik,2.3k,48,29,63
Evision Technoserve,4.8,740,IT Services & Consulting,Pune,214,324,--,24
Rentokil Pest Control,3.5,740,Facility Management Services,Mumbai,2.1k,44,347,73
Tavant Technologies,3.8,739,IT Services & Consulting,Bengaluru,6.4k,81,79,93
Molex,3.8,740,Electronics Manufacturing,Bengaluru,4k,71,5,63
Lohia Corp,4.1,740,Industrial Machinery,Kanpur,2.5k,93,3,54
Adidas,3.9,739,Fashion & Textile,Gurugram,4.1k,85,57,57
Indusind Marketing & Financial Services,3.7,737,Financial Services,Chennai,1.6k,33,--,55
Bahwan CyberTek,3.3,737,IT Services & Consulting,Chennai,5.1k,53,351,30
Cotiviti,3.5,735,Analytics & KPO,Hyderabad,4.9k,92,37,58
Central Bank of India,4.0,736,Banking,Mumbai,1.6k,46,--,36
Bikanervala,3.9,735,FMCG,New Delhi,2.1k,31,2,59
Expleo Solutions,3.6,734,IT Services & Consulting,Chennai,4.8k,75,4,26
Bristlecone,3.6,734,IT Services & Consulting,Bengaluru,6.2k,77,129,57
Medreich,3.8,734,Pharma,Bengaluru,3k,64,9,71
Thriveni Earthmovers,3.9,733,Metals & Mining,Jamshedpur,2.6k,65,--,90
Jubilant Ingrevia,3.8,733,Chemicals,Bharuch,3k,56,--,27
Revolut,2.5,734,FinTech,Bengaluru,3.6k,128,--,16
Zaalima Development,4.3,734,IT Services & Consulting,Bengaluru,20,247,--,38
YOKOGAWA,3.9,738,Industrial Automation,Bengaluru,3.8k,75,115,83
Goodyear,3.5,731,Auto Components,Chhatrapati Sambhajinagar,2.7k,76,10,53
PrimEra Medical Technologies,3.5,731,IT Services & Consulting,Hyderabad,4.1k,73,12,41
DuPont,4.2,730,Waste Management,Hyderabad,3k,45,19,94
Visteon,3.1,729,Auto Components,Chennai,4.7k,65,279,49
Biba Apparels,3.5,729,Fashion & Textile,New Delhi,2.2k,52,--,67
Infor Global Solution,3.9,728,Software Product,Hyderabad,7k,86,66,66
Gartner,3.8,728,Management Consulting,Gurugram,6.8k,102,50,26
Vindhya Telelinks,4.0,728,Engineering & Construction,Lucknow,2.2k,51,1,37
Vertex Customer Solutions,3.7,727,IT Services & Consulting,Chennai,1k,16,--,83
BSH Home Appliances Group,3.8,727,Consumer Electronics & Appliances,Bengaluru,2.6k,39,8,6
Lavender Technology,4.9,724,IT Services & Consulting,Bengaluru,19,4,--,53
Apple,4.3,724,Consumer Electronics & Appliances,Bengaluru,5.7k,177,163,55
Amrit Cement,3.9,724,Building Material,Guwahati,1.5k,86,24,30
TTK Prestige,3.8,724,Consumer Electronics & Appliances,Bengaluru,2.6k,52,16,52
NecLife,3.5,723,Pharma,Chandigarh,2.2k,62,2,56
TransUnion,3.6,724,Financial Services,Chennai,6.7k,106,45,61
Dodla Dairy,4.2,723,Food Processing,Hyderabad,2k,47,25,56
Diebold Nixdorf,3.6,722,Software Product,Hyderabad,3.6k,56,17,87
Lovely Professional University,3.3,721,Education & Training,Jalandhar,2.1k,66,6,52
Wolters Kluwer,3.8,721,Software Product,Pune,5.3k,96,10,56
Raychem RPG,3.7,720,Electrical Equipment,Mumbai,2.5k,34,1,95
Ness Digital Engineering,3.2,720,IT Services & Consulting,Bengaluru,5.7k,73,31,12
CtrlS,3.6,720,IT Services & Consulting,Hyderabad,3.3k,60,6,93
Progressive Infovision,3.9,720,Recruitment,New Delhi,1.2k,64,--,73
Moglix,3.3,719,Internet,Noida,3.8k,70,43,48
ffreedom app,3.4,718,Internet,Bengaluru,1.5k,64,--,1
Ramky Infrastructure,4.2,718,Engineering & Construction,Hyderabad,2k,54,--,66
Patel Engineering,4.1,717,Engineering & Construction,Mumbai,2.4k,47,--,51
Magic Bus India Foundation,3.9,717,Non-Profit,Chennai,1.8k,50,42,54
Radico Khaitan,4.0,716,Beverage,Rampur,2.1k,70,1,38
Asb International,3.7,716,Industrial Machinery,Mumbai,2.8k,38,--,55
Technotask Business Solutions,3.4,717,BPO,Bhopal,2.2k,66,7,11
Vizag Steel,3.8,715,Iron & Steel,Visakhapatnam,1.7k,37,--,50
Bisk Farm,3.9,715,Food Processing,Kolkata,1.4k,32,12,44
Joyalukkas,4.6,715,Retail,Bengaluru,1k,191,4,191
Elite Elevators,4.2,715,Industrial Machinery,Chennai,1.1k,53,--,72
Nomura Holdings,3.6,715,Investment Banking / Venture Capital / Private Equity,Mumbai,7.2k,84,317,90
IHG,3.6,714,Hospitality,New Delhi,2.7k,40,125,92
Wuerth,3.5,714,Industrial Machinery,Pune,2.4k,46,1,77
Wow Momo Foods,4.1,714,Hospitality,Kolkata,2k,189,19,20
Mynd Solutions Private,3.7,713,BPO,Gurugram,3.2k,36,6,40
Autoliv,3.9,713,Auto Components,Bengaluru,3k,44,5,59
HRH Next Services,2.9,713,BPO,Hyderabad,2k,57,9,50
uFaber,2.3,713,Education & Training,Mumbai,1.4k,54,--,55
Blue Yonder,3.5,712,Software Product,Bengaluru,7.7k,74,183,75
Bharat Serums and Vaccines,3.9,712,Pharma,Mumbai,2.4k,31,7,63
PPG Asian Paints,3.8,712,Chemicals,Mumbai,2.9k,46,4,65
NephroPlus,3.9,711,Healthcare,Hyderabad,3k,336,13,46
Emami Agrotech,3.8,712,Food Processing,Kolkata,2.6k,46,11,57
SG Analytics,2.5,710,Analytics & KPO,Pune,3.8k,84,16,53
Bridgestone - Global Capability Center,4.0,710,Auto Components,Pune,2.9k,50,20,63
XcelServ Solutions,4.4,709,IT Services & Consulting,New Delhi,415,12,--,11
Impetus Technologies,3.2,709,IT Services & Consulting,Indore,6.5k,122,71,66
Kaar Tech,4.3,709,IT Services & Consulting,Chennai,2.3k,235,16,16
Capco Technologies,3.8,711,IT Services & Consulting,Bengaluru,5.4k,99,231,52
Tejas Networks,3.8,709,Hardware & Networking,Bengaluru,4.3k,93,--,30
Csc E Governance Services,3.7,707,Government,New Delhi,1.7k,48,8,37
Magic EdTech,3.6,710,EdTech,Noida,3.7k,101,13,34
LEAP India Limited,4.6,707,Packaging,Mumbai,1.3k,32,13,31
Mahindra Integrated Business Solutions,3.3,707,BPO,Mumbai,2.7k,48,4,25
Transsion,3.9,706,Consumer Electronics & Appliances,Noida,2.6k,41,5,67
Surya Roshni,4.1,705,Building Material,New Delhi,2.3k,23,11,48
Rane NSK Steering Systems,3.9,705,Auto Components,Chennai,2.1k,43,--,66
InternEzy,4.9,704,EdTech,Chennai,5,149,4,120
Micro Turners,3.8,704,Auto Components,Baddi,2.2k,36,4,52
CJ Darcl Logistics Limited,4.0,703,Logistics,Gurugram,2.1k,46,1,51
Keventer,3.7,704,FMCG,Kolkata,2.2k,35,6,54
BrightCHAMPS,4.2,703,EdTech,Bengaluru,1.2k,107,27,52
VRL Logistics,3.8,703,Logistics,Bengaluru,1.7k,27,1,37
TVS Electronics,3.7,702,Electronics Manufacturing,Chennai,2.4k,33,7,65
TCNS Clothing Company,4.2,703,Fashion & Textile,New Delhi,1.5k,27,2,59
NSB Bpo Solutions,2.8,702,BPO,Noida,1.7k,36,--,33
North East Small Finance Bank,3.5,702,Banking,Guwahati,1.8k,30,--,41
HCL Healthcare,4.5,703,Healthcare,Noida,1.1k,179,9,26
Quislex Legal Services,4.1,701,Legal,Hyderabad,1.7k,39,--,58
BASF,4.2,701,Chemicals,Mumbai,2.5k,36,14,65
Medtronic,3.8,702,Medical Equipment,Hyderabad,4.8k,82,117,64
Flash Electronics,3.6,701,Electronics Manufacturing,Pune,2.5k,37,--,60
Caparo Engineering India,4.0,702,Auto Components,Chennai,2.5k,35,--,60
Titan Eye Plus,4.1,701,Other,Kolkata,1.5k,41,--,57
Welspun World,3.7,700,Building Material,Anjar,2.6k,60,100,84
ChannelPlay,3.8,699,Marketing & Advertising,Gurugram,2k,32,152,94
R.S. Infraprojects,4.0,699,Engineering & Construction,Noida,1.7k,41,1,61
ChannelPlay,3.8,699,Marketing & Advertising,Gurugram,2k,32,152,94
Leverage Edu,4.0,698,EdTech,Noida,1.9k,70,14,11
Teamlease Digital,3.3,698,Recruitment,Bengaluru,3.3k,40,4,46
Lionbridge Technologies,3.4,698,Content Development,Mumbai,3.9k,52,14,61
Samunnati,4.5,698,NBFC,Chennai,969,84,--,278
HSBC Bank,3.9,697,Banking,Bengaluru,3k,45,--,22
Testbook.com,3.3,697,EdTech,Noida,4.5k,111,1,22
MPS Limited,3.5,697,Content Development,Dehradun,3k,39,11,44
Triveni Engineering & Industries,4.1,697,Food Processing,Noida,2.5k,51,4,58
Vasudha Pharma Chem,4.0,697,Pharma,Visakhapatnam,2.3k,39,5,65
Neeyamo Enterprise Solutions,3.5,696,,Madurai,4.1k,72,3,67
Wissen Infotech,3.5,696,IT Services & Consulting,Bengaluru,5.1k,64,66,59
Sykes Business Services Of India,3.4,696,BPO,Hyderabad,2.5k,53,42,199
Livpure,3.8,695,Consumer Electronics & Appliances,Gurugram,2.3k,41,6,48
PCBL Chemical Limited,3.9,695,Petrochemicals,Vadodara,2.7k,75,--,54
Solv,3.4,694,Internet,Bengaluru,1.7k,46,--,16
Doosan Power Systems,4.3,693,Power,Gurugram,2.5k,44,--,82
Avaada Group,4.3,696,Power,Noida,2.4k,73,78,53
Wissen Technology,3.8,693,IT Services & Consulting,Bengaluru,5.5k,215,61,86
Bayer Crop Science Vegetable Seeds,4.2,693,,Bengaluru,1k,38,--,4
SMC Global Securities,3.5,692,Financial Services,New Delhi,2.7k,60,7,32
CSC,3.6,692,Financial Services,Bengaluru,4.8k,68,53,5
ANAROCK Property Consultants,3.5,692,Real Estate,Mumbai,3.2k,66,58,37
Cohesity,3.8,693,Software Product,Pune,5.2k,87,23,86
Orient Cement,4.4,691,Building Material,Hyderabad,2.4k,48,7,76
Grihum Housing Finance,3.6,691,NBFC,Pune,2.2k,33,38,13
Dhanuka Agritech,3.7,693,Agro Chemicals,Gurugram,1.9k,50,7,61
Belstar Microfinance,3.9,690,NBFC,Chennai,1.6k,44,--,18
Corteva Agriscience,4.3,690,Agro Chemicals,Hyderabad,2.7k,41,5,59
Narayana e-Techno School,3.6,691,Education & Training,Bengaluru,2.1k,56,--,30
Kurlon,4.3,689,Furniture & Furnishing,Bengaluru,2.1k,37,8,87
Embibe,3.4,686,EdTech,Bengaluru,2.7k,61,--,85
Redington,4.1,685,Hardware & Networking,Chennai,3.1k,37,--,70
JoulestoWatts Business Solutions,3.3,685,IT Services & Consulting,Bengaluru,3.5k,79,--,15
EPL Limited,3.8,684,Packaging,Mumbai,1.8k,30,5,72
Office Beacon,4.5,684,BPO,Vadodara,923,68,4,15
Surin Automotive,3.9,684,Industrial Machinery,Pune,2k,63,--,33
Housing.com,3.5,684,Internet,Gurugram,3k,81,85,68
Osource Global,3.5,684,BPO,Mumbai,2.8k,28,25,4
Krsnaa Diagnostics,3.5,684,Healthcare,Pune,1.7k,53,37,28
My Home Industries,4.1,683,Building Material,Hyderabad,2.3k,44,3,61
Optimum Infosystem,3.2,685,IT Services & Consulting,Chennai,3.6k,60,107,18
Toppr,3.4,682,EdTech,Mumbai,3k,66,--,87
Saint Gobain Glass,3.9,682,Building Material,Chennai,2.1k,31,--,2
Indorama,3.9,682,Agro Chemicals,Haldia,2.4k,43,11,41
TCI Express,3.9,680,Logistics,New Delhi,1.9k,48,2,57
Sigma Engineered Solutions,3.9,681,Industrial Machinery,Pune,2.7k,34,--,19
Licious,3.5,680,Hospitality,Bengaluru,3.1k,79,16,87
DeHaat,3.6,679,Internet,Gurugram,2.2k,70,5,22
Ingram Micro,3.6,679,IT Services & Consulting,Mumbai,3.4k,33,--,65
Quess IT Staffing Solutions,3.2,679,,Bengaluru,1.5k,45,--,9
Finova Capital,3.9,679,NBFC,Jaipur,1.6k,30,24,25
TDS Lithium-Ion Battery,4.2,679,Auto Components,Ahmedabad,2.4k,99,--,34
Nihilent,3.2,678,IT Services & Consulting,Pune,4.9k,65,33,49
Sintex BAPL,3.6,677,Petrochemicals,Ahmedabad,2.4k,43,4,71
DAV Public School,3.9,677,Education & Training,New Delhi,1.2k,37,--,82
Careon Healthcare Solutions,3.9,677,Medical Equipment,Bengaluru,3.1k,10,1,5
MAQ Software,3.0,673,IT Services & Consulting,Noida,4.1k,175,1,25
Carrier,3.6,673,Industrial Machinery,Hyderabad,4.9k,56,3,46
Snapdeal,3.6,673,Internet,Gurugram,2.8k,78,35,123
MAQ Software,3.0,673,IT Services & Consulting,Noida,4.1k,175,1,25
Snapdeal,3.6,673,Internet,Gurugram,2.8k,78,34,123
Carrier,3.6,674,Industrial Machinery,Hyderabad,4.9k,56,3,46
Tata Power Delhi Distribution,3.8,672,Power,New Delhi,2.9k,37,3,66
Suroj Buildcon,4.0,674,Engineering & Construction,Pune,1.7k,41,5,62
Chaitanya India Fin Credit,4.1,671,NBFC,Bengaluru,1.6k,39,--,30
Corporate Infotech,3.7,671,IT Services & Consulting,New Delhi,2.4k,89,8,19
Omaxe,4.2,670,Real Estate,New Delhi,2.2k,40,2,55
Quality Austria Central Asia,3.5,670,Other,New Delhi,1.9k,32,16,52
Vikram Solar,3.6,671,Power,Kolkata,2.4k,41,3,58
AML RightSource,2.5,669,IT Services & Consulting,New Delhi,3.9k,68,17,20
PeopleStrong,3.3,669,Recruitment,Gurugram,3.3k,55,3,45
BankBazaar,3.3,669,FinTech,Chennai,2.9k,63,22,62
NextComm Corporation,4.8,669,Software Product,Bengaluru,39,6,--,31
Collegedunia,3.2,669,Internet,Gurugram,3.3k,141,27,38
Marlabs,3.5,668,IT Services & Consulting,Bengaluru,5.1k,44,7,53
NiCE,3.6,669,Software Product,Pune,4.8k,104,52,66
Future Supply Chain Solutions,4.4,667,Logistics,Nagpur,2.1k,22,--,83
Anudip Foundation,4.0,667,Non-Profit,Kolkata,1.3k,213,16,42
Kiya.ai,4.0,669,IT Services & Consulting,Mumbai,4.3k,51,151,27
Qatar Airways,3.4,666,Aviation,Ahmedabad,2.1k,73,6,62
Times Group,3.7,666,Printing & Publishing,Mumbai,4.7k,35,6,78
Infinity Learn,4.1,666,EdTech,Hyderabad,2.3k,104,189,10
Kiya.ai,4.0,667,IT Services & Consulting,Mumbai,4.3k,51,151,27
Airports Authority of India,4.3,666,Aviation,New Delhi,1.7k,56,--,70
SOLAR INDUSTRIES INDIA,3.7,665,Defence & Aerospace,Nagpur,3.2k,78,17,47
FCC Clutch,3.9,666,Auto Components,Gurugram,2.3k,46,3,36
Kutumbh Care,4.0,665,Recruitment,Noida,1.6k,33,--,51
Inspirisys Solution,3.7,665,IT Services & Consulting,Chennai,3.9k,65,60,28
RealPage,3.6,666,Software Product,Hyderabad,4.3k,80,6,55
Epicenter Technologies,3.4,664,BPO,Mumbai,2.2k,45,7,76
Pennar Industries,3.5,665,Engineering & Construction,Hyderabad,3.1k,39,10,61
Yatra,3.3,663,Travel & Tourism,Gurugram,3.1k,39,--,60
Monte Carlo,4.2,663,Fashion & Textile,Ahmedabad,2.5k,37,11,47
Motilal Oswal Wealth Management,4.4,663,Financial Services,Mumbai,449,44,--,20
Myk Laticrete,3.7,663,Building Material,Hyderabad,2.4k,29,62,37
Hetero Healthcare,3.6,662,Pharma,Hyderabad,2.4k,37,7,48
Kaizen IT Services,3.8,662,IT Services & Consulting,Kolkata,1.4k,38,--,19
L&T Power,3.9,662,Power,Vadodara,3.3k,38,--,97
Celebi Aviation Holding,4.1,662,Aviation,New Delhi,1.2k,37,--,4
Ramboll,3.9,661,Engineering & Construction,Gurugram,3.4k,47,146,73
Fiat India Automobiles,3.6,660,Automobile,Pune,2.3k,48,21,57
Healthians,4.1,660,Internet,Gurugram,2k,146,--,22
Me n Moms,4.1,659,Retail,Mumbai,1.1k,155,3,38
Gainwell Commosales,4.0,660,Industrial Machinery,Kolkata,2.4k,46,8,56
Cogoport,3.2,657,Internet,Mumbai,1.9k,58,--,5
South Indian Bank,3.3,656,Banking,Kochi,3.2k,49,--,34
Geojit Financial Services,3.3,656,Financial Services,Kochi,2.2k,55,6,49
Talentpro,3.8,656,Recruitment,Chennai,2.4k,36,29,44
Alshaya Group,3.8,656,Retail,Bengaluru,2.4k,51,1,82
Adani Cement,3.4,657,Building Material,Ahmedabad,2.6k,63,--,10
Danfoss Industries,3.8,655,Industrial Machinery,Chennai,3.6k,45,4,67
